time(h),formaldehyde(ug/m³)
9.76666666666667,984.7
9.8,996.3
9.83333333333333,977.4
9.86666666666667,1021.0
9.9,964.5
9.93333333333333,898.9
9.96666666666667,962.1
10.0,1027.3
10.0333333333333,960.0
10.0666666666667,1003.0
10.1,960.7
10.1333333333333,981.3
10.1666666666667,945.6
10.2,983.8
10.2333333333333,915.6
10.2666666666667,1016.0
10.3,956.2
10.3333333333333,928.4
10.3666666666667,1009.8
10.4,880.5
10.4333333333333,1000.2
10.4666666666667,943.7
10.5,987.7
10.5333333333333,886.5
10.5666666666667,954.4
10.6,988.7
10.6333333333333,935.7
10.6666666666667,947.8
10.7,894.0
10.7333333333333,942.7
10.7666666666667,857.6
10.8,977.8
10.8333333333333,920.8
10.8666666666667,912.0
10.9,948.6
10.9333333333333,961.3
10.9666666666667,937.0
11.0,894.7
11.0333333333333,956.5
11.0666666666667,936.7
11.1,958.5
11.1333333333333,887.1
11.1666666666667,873.5
11.2,964.5
11.2333333333333,963.1
11.2666666666667,957.4
11.3,948.6
11.3333333333333,877.4
11.3666666666667,908.5
11.4,945.7
11.4333333333333,850.3
11.4666666666667,845.4
11.5,938.9
11.5333333333333,873.1
11.5666666666667,926.5
11.6,1008.5
11.6333333333333,878.7
11.6666666666667,861.7
11.7,966.4
11.7333333333333,863.8
11.7666666666667,860.2
11.8,871.3
11.8333333333333,837.1
11.8666666666667,844.0
11.9,847.0
11.9333333333333,866.6
11.9666666666667,850.4
12.0,895.0
12.0333333333333,929.1
12.0666666666667,903.7
12.1,901.9
12.1333333333333,949.4
12.1666666666667,846.7
12.2,930.3
12.2333333333333,858.1
12.2666666666667,827.7
12.3,858.8
12.3333333333333,966.7
12.3666666666667,909.0
12.4,810.5
12.4333333333333,822.0
12.4666666666667,850.8
12.5,825.1
12.5333333333333,870.9
12.5666666666667,838.3
12.6,798.8
12.6333333333333,782.6
12.6666666666667,874.7
12.7,817.7
12.7333333333333,874.4
12.7666666666667,863.6
12.8,948.2
12.8333333333333,838.4
12.8666666666667,896.7
12.9,810.4
12.9333333333333,799.8
12.9666666666667,820.0
13.0,875.7
13.0333333333333,850.2
13.0666666666667,842.0
13.1,875.2
13.1333333333333,919.1
13.1666666666667,908.7
13.2,776.2
13.2333333333333,782.3
13.2666666666667,861.1
13.3,821.7
13.3333333333333,819.3
13.3666666666667,826.0
13.4,903.8
13.4333333333333,794.3
13.4666666666667,853.6
13.5,802.2
13.5333333333333,811.2
13.5666666666667,792.0
13.6,836.0
13.6333333333333,816.6
13.6666666666667,875.9
13.7,841.4
13.7333333333333,798.9
13.7666666666667,803.5
13.8,822.1
13.8333333333333,850.7
13.8666666666667,852.6
13.9,823.8
13.9333333333333,816.4
13.9666666666667,760.1
14.0,694.7
14.0333333333333,740.9
